League,BirthPlace,Count,LeagueTotal,Percentage,Rank
NBA,"Joliet, IL",4,4177,0.09576250897773521,38.0
NBA,"Kingston, Jamaica",4,4177,0.09576250897773521,38.0
NBA,"Kinshasa, Democratic Republic of the Congo",4,4177,0.09576250897773521,38.0
NBA,"Knoxville, TN",4,4177,0.09576250897773521,38.0
NBA,"Lagos, Nigeria",4,4177,0.09576250897773521,38.0
NBA,"Lincoln, NE",4,4177,0.09576250897773521,38.0
NBA,"Lubbock, TX",4,4177,0.09576250897773521,38.0
NBA,"Meridian, MS",4,4177,0.09576250897773521,38.0
NBA,"Mississauga, Canada",4,4177,0.09576250897773521,38.0
NBA,"Mostar, Bosnia and Herzegovina",4,4177,0.09576250897773521,38.0
NBA,"Ocala, FL",4,4177,0.09576250897773521,38.0
NBA,"Orange, NJ",4,4177,0.09576250897773521,38.0
NBA,"Pensacola, FL",4,4177,0.09576250897773521,38.0
NBA,"Pine Bluff, AR",4,4177,0.09576250897773521,38.0
NBA,"Pontiac, MI",4,4177,0.09576250897773521,38.0
NBA,"Rocky Mount, NC",4,4177,0.09576250897773521,38.0
NBA,"San Bernardino, CA",4,4177,0.09576250897773521,38.0
NBA,"Santo Domingo, Dominican Republic",4,4177,0.09576250897773521,38.0
NBA,"Spokane, WA",4,4177,0.09576250897773521,38.0
NBA,"Springfield, OH",4,4177,0.09576250897773521,38.0
NBA,"Teaneck, NJ",4,4177,0.09576250897773521,38.0
NBA,"Terre Haute, IN",4,4177,0.09576250897773521,38.0
NBA,"Union City, NJ",4,4177,0.09576250897773521,38.0
NBA,"Waukegan, IL",4,4177,0.09576250897773521,38.0
NBA,"West Memphis, AR",4,4177,0.09576250897773521,38.0
NFL,"Youngstown, OH",72,24104,0.2987056090275473,38.0
MLB,"Bridgeport, CT",11,7541,0.1458692481103302,39.0
MLB,"Camden, NJ",11,7541,0.1458692481103302,39.0
MLB,"Evanston, IL",11,7541,0.1458692481103302,39.0
MLB,"Holyoke, MA",11,7541,0.1458692481103302,39.0
MLB,"Honolulu, HI",11,7541,0.1458692481103302,39.0
MLB,"Kansas City, KS",11,7541,0.1458692481103302,39.0
MLB,"Lexington, KY",11,7541,0.1458692481103302,39.0
MLB,"Macon, GA",11,7541,0.1458692481103302,39.0
MLB,"Merced, CA",11,7541,0.1458692481103302,39.0
MLB,"Oxnard, CA",11,7541,0.1458692481103302,39.0
MLB,"Portland, ME",11,7541,0.1458692481103302,39.0
MLB,"Richmond, VA",11,7541,0.1458692481103302,39.0
MLB,"Santa Ana, CA",11,7541,0.1458692481103302,39.0
MLB,"Springfield, MA",11,7541,0.1458692481103302,39.0
MLB,"St. Paul, MN",11,7541,0.1458692481103302,39.0
MLB,"Tuscaloosa, AL",11,7541,0.1458692481103302,39.0
MLB,"Vancouver, Canada",11,7541,0.1458692481103302,39.0
NBA,"Altoona, PA",3,4177,0.07182188173330141,39.0
NBA,"Ames, IA",3,4177,0.07182188173330141,39.0
NBA,"Asheville, NC",3,4177,0.07182188173330141,39.0
NBA,"Aurora, IL",3,4177,0.07182188173330141,39.0
NBA,"Bartow, FL",3,4177,0.07182188173330141,39.0
NBA,"Bastrop, LA",3,4177,0.07182188173330141,39.0
NBA,"Bellefontaine, OH",3,4177,0.07182188173330141,39.0
NBA,"Bellflower, CA",3,4177,0.07182188173330141,39.0
NBA,"Bloomington, IN",3,4177,0.07182188173330141,39.0
NBA,"Boulder, CO",3,4177,0.07182188173330141,39.0
