BirthPlace,MLB,NBA,NFL,Total,Rank
"Eglin AFB, FL",1347.0,1347.0,1116.0,3810.0,3165.0
"Windsor, NC",1347.0,1347.0,1116.0,3810.0,3165.0
"Charleroi, PA",1347.0,1347.0,1116.0,3810.0,3165.0
"San Augustine, TX",1347.0,1347.0,1116.0,3810.0,3165.0
"Port WA, WI",1347.0,1347.0,1116.0,3810.0,3165.0
"Hamilton, TX",1347.0,1347.0,1116.0,3810.0,3165.0
"Springdale, AR",1347.0,1347.0,1116.0,3810.0,3165.0
"Lawndale, CA",1347.0,1347.0,1116.0,3810.0,3165.0
"Shelby, MS",1347.0,1347.0,1116.0,3810.0,3165.0
"Beachwood, OH",1347.0,1347.0,1116.0,3810.0,3165.0
"Superior, NE",1347.0,1347.0,1116.0,3810.0,3165.0
"Windber, PA",1347.0,1347.0,1116.0,3810.0,3165.0
"Arcadia, LA",1347.0,1347.0,1116.0,3810.0,3165.0
"Beaverton, OR",1347.0,1347.0,1116.0,3810.0,3165.0
"Novato, CA",1347.0,1347.0,1116.0,3810.0,3165.0
"Nowata, OK",1347.0,1347.0,1116.0,3810.0,3165.0
"Elizabethtown, KY",1347.0,1347.0,1116.0,3810.0,3165.0
"Salem, NJ",1347.0,1347.0,1116.0,3810.0,3165.0
"Dillon, SC",1347.0,1347.0,1116.0,3810.0,3165.0
"Central, SC",1347.0,1347.0,1116.0,3810.0,3165.0
"Schulenburg, TX",1347.0,1347.0,1116.0,3810.0,3165.0
"Hamden, CT",1347.0,1347.0,1116.0,3810.0,3165.0
"Gardner, MA",1347.0,1347.0,1116.0,3810.0,3165.0
"Garfield, NJ",1347.0,1347.0,1116.0,3810.0,3165.0
"Madisonville, KY",1347.0,1347.0,1116.0,3810.0,3165.0
"Chino Hills, CA",1347.0,1347.0,1116.0,3810.0,3165.0
"Pewaukee, WI",1347.0,1347.0,1116.0,3810.0,3165.0
"Moorhead, MN",1347.0,1347.0,1116.0,3810.0,3165.0
"Tracy, CA",1347.0,1347.0,1116.0,3810.0,3165.0
"Worland, WY",1347.0,1347.0,1116.0,3810.0,3165.0
"Lafayette, AL",1347.0,1347.0,1116.0,3810.0,3165.0
"Franklin, TX",1347.0,1347.0,1116.0,3810.0,3165.0
"Baraboo, WI",1347.0,1347.0,1116.0,3810.0,3165.0
"Winnsboro, SC",1347.0,1347.0,1116.0,3810.0,3165.0
"Mount Vernon, TX",1347.0,1347.0,1116.0,3810.0,3165.0
"Wynnewood, OK",1347.0,1347.0,1116.0,3810.0,3165.0
"Eden, NC",1347.0,1347.0,1116.0,3810.0,3165.0
"Hope, AR",1347.0,1347.0,1116.0,3810.0,3165.0
"Edenton, NC",1347.0,1347.0,1116.0,3810.0,3165.0
"Cherokee, IA",1347.0,1347.0,1116.0,3810.0,3165.0
"Pickens, SC",1347.0,1347.0,1116.0,3810.0,3165.0
"Grand Rapids, MN",1347.0,1347.0,1116.0,3810.0,3165.0
"Roscoe, PA",1347.0,1347.0,1116.0,3810.0,3165.0
"Batesburg, SC",1347.0,1347.0,1116.0,3810.0,3165.0
"South Hill, VA",1347.0,1347.0,1116.0,3810.0,3165.0
"Edgewater, NJ",1347.0,1347.0,1116.0,3810.0,3165.0
"Northampton, PA",1347.0,1347.0,1116.0,3810.0,3165.0
"North Tonawanda, NY",1347.0,1347.0,1116.0,3810.0,3165.0
"St. Peter, MN",1347.0,1347.0,1116.0,3810.0,3165.0
"Edgerton, WI",1347.0,1347.0,1116.0,3810.0,3165.0
"Kent, OH",1051.0,1347.0,1526.0,3924.0,3380.0
"Aberdeen, SD",1051.0,1347.0,1526.0,3924.0,3380.0
"Ashland, OH",1051.0,1347.0,1526.0,3924.0,3380.0
"Seward, NE",1051.0,1347.0,1526.0,3924.0,3380.0
"Galesburg, IL",1051.0,1347.0,1526.0,3924.0,3380.0
"Kerrville, TX",1051.0,1347.0,1526.0,3924.0,3380.0
"Garden City, MI",1051.0,1347.0,1526.0,3924.0,3380.0
"Woodstock, IL",1051.0,1347.0,1526.0,3924.0,3380.0
"Kenton, TN",1051.0,1347.0,1526.0,3924.0,3380.0
"Tecumseh, NE",1051.0,1347.0,1526.0,3924.0,3380.0
"Kennesaw, GA",1051.0,1347.0,1526.0,3924.0,3380.0
"Scotia, CA",1051.0,1347.0,1526.0,3924.0,3380.0
"Royston, GA",1051.0,1347.0,1526.0,3924.0,3380.0
"Yorktown, TX",1051.0,1347.0,1526.0,3924.0,3380.0
"Sylvester, GA",1051.0,1347.0,1526.0,3924.0,3380.0
"Massena, NY",1051.0,1347.0,1526.0,3924.0,3380.0
"Rutland, VT",1051.0,1347.0,1526.0,3924.0,3380.0
"Rutherfordton, NC",1051.0,1347.0,1526.0,3924.0,3380.0
"Batesville, AR",1051.0,1347.0,1526.0,3924.0,3380.0
"Selma, CA",1051.0,1347.0,1526.0,3924.0,3380.0
"Tarrytown, NY",1051.0,1347.0,1526.0,3924.0,3380.0
"La Porte, TX",1051.0,1347.0,1526.0,3924.0,3380.0
"Stoneham, MA",1051.0,1347.0,1526.0,3924.0,3380.0
"Portage, WI",1051.0,1347.0,1526.0,3924.0,3380.0
"Shelbyville, TN",1051.0,1347.0,1526.0,3924.0,3380.0
"Mattoon, IL",1051.0,1347.0,1526.0,3924.0,3380.0
"Sunbury, PA",1051.0,1347.0,1526.0,3924.0,3380.0
"Bellefonte, PA",1051.0,1347.0,1526.0,3924.0,3380.0
"Petaluma, CA",1051.0,1347.0,1526.0,3924.0,3380.0
"Leroy, AL",1051.0,1347.0,1526.0,3924.0,3380.0
"Sylva, NC",1051.0,1347.0,1526.0,3924.0,3380.0
"Merrillville, IN",1051.0,1347.0,1526.0,3924.0,3380.0
"Atlantic, IA",1051.0,1347.0,1526.0,3924.0,3380.0
"Sidney, OH",1051.0,1347.0,1526.0,3924.0,3380.0
"Augusta, ME",1051.0,1347.0,1526.0,3924.0,3380.0
"Whitehall, PA",1051.0,1347.0,1526.0,3924.0,3380.0
"Perkasie, PA",1051.0,1347.0,1526.0,3924.0,3380.0
"Pen Argyl, PA",1051.0,1347.0,1526.0,3924.0,3380.0
"Palmetto, FL",1051.0,1347.0,1526.0,3924.0,3380.0
"Lake Forest, IL",1051.0,1347.0,1526.0,3924.0,3380.0
"Forest City, IA",1051.0,1347.0,1526.0,3924.0,3380.0
"Bethany, OK",1051.0,1347.0,1526.0,3924.0,3380.0
"Scottsbluff, NE",1051.0,1347.0,1526.0,3924.0,3380.0
"Germantown, TN",1051.0,1347.0,1526.0,3924.0,3380.0
"Pennsauken, NJ",1051.0,1347.0,1526.0,3924.0,3380.0
"Lake Jackson, TX",1051.0,1347.0,1526.0,3924.0,3380.0
"Arcata, CA",1051.0,1347.0,1526.0,3924.0,3380.0
"St. Charles, IL",1051.0,1347.0,1526.0,3924.0,3380.0
"Hood River, OR",1051.0,1347.0,1526.0,3924.0,3380.0
"Huron, SD",1051.0,1347.0,1526.0,3924.0,3380.0
"East Boston, MA",1051.0,1347.0,1526.0,3924.0,3380.0
"Riverhead, NY",1051.0,1347.0,1526.0,3924.0,3380.0
"Purcell, OK",1051.0,1347.0,1526.0,3924.0,3380.0
"Clinton, IL",1051.0,1347.0,1526.0,3924.0,3380.0
"Coal City, IL",1051.0,1347.0,1526.0,3924.0,3380.0
"Coalinga, CA",1051.0,1347.0,1526.0,3924.0,3380.0
"Eupora, MS",1051.0,1347.0,1526.0,3924.0,3380.0
"St. Marys, PA",1051.0,1347.0,1526.0,3924.0,3380.0
"Calhoun City, MS",1051.0,1347.0,1526.0,3924.0,3380.0
"Three Rivers, MI",1051.0,1347.0,1526.0,3924.0,3380.0
"Collinsville, IL",1051.0,1347.0,1526.0,3924.0,3380.0
"Elkhorn, NE",1051.0,1347.0,1526.0,3924.0,3380.0
"Mount Lebanon, PA",1051.0,1347.0,1526.0,3924.0,3380.0
"Burlington, VT",1051.0,1347.0,1526.0,3924.0,3380.0
"Commerce, GA",1051.0,1347.0,1526.0,3924.0,3380.0
"Burlingame, CA",1051.0,1347.0,1526.0,3924.0,3380.0
"Spring City, TN",1051.0,1347.0,1526.0,3924.0,3380.0
"Collierville, TN",1051.0,1347.0,1526.0,3924.0,3380.0
"Vienna, GA",1051.0,1347.0,1526.0,3924.0,3380.0
"Camarillo, CA",1051.0,1347.0,1526.0,3924.0,3380.0
"South River, NJ",1051.0,1347.0,1526.0,3924.0,3380.0
"Stanford, KY",1051.0,1347.0,1526.0,3924.0,3380.0
"Sonora, CA",1051.0,1347.0,1526.0,3924.0,3380.0
"Waverly, IA",1051.0,1347.0,1526.0,3924.0,3380.0
"Jamestown, NY",1051.0,1347.0,1526.0,3924.0,3380.0
"Elizabeth, PA",1051.0,1347.0,1526.0,3924.0,3380.0
"Eloy, AZ",1051.0,1347.0,1526.0,3924.0,3380.0
"Waynesboro, PA",1051.0,1347.0,1526.0,3924.0,3380.0
"Jasper, TN",1051.0,1347.0,1526.0,3924.0,3380.0
"Walpole, MA",1051.0,1347.0,1526.0,3924.0,3380.0
"Istanbul, Turkey",1347.0,139.0,2438.0,3924.0,3380.0
"Marquette, MI",1051.0,1347.0,1526.0,3924.0,3380.0
"Ranger, TX",1051.0,1347.0,1526.0,3924.0,3380.0
"Chicopee, MA",1051.0,1347.0,1526.0,3924.0,3380.0
"Jenkintown, PA",1051.0,1347.0,1526.0,3924.0,3380.0
"Salamanca, NY",1051.0,1347.0,1526.0,3924.0,3380.0
"Camp Hill, PA",1051.0,1347.0,1526.0,3924.0,3380.0
"Childress, TX",1051.0,1347.0,1526.0,3924.0,3380.0
"Cambridge, OH",1051.0,1347.0,1526.0,3924.0,3380.0
"Weatherford, TX",1051.0,1347.0,1526.0,3924.0,3380.0
"Douglas, GA",1051.0,1347.0,1526.0,3924.0,3380.0
"Elkin, NC",1051.0,1347.0,1526.0,3924.0,3380.0
"Thomasville, NC",1051.0,1347.0,1526.0,3924.0,3380.0
"Hickory, MS",1051.0,1347.0,1526.0,3924.0,3380.0
"Oscoda, MI",1051.0,1347.0,1526.0,3924.0,3380.0
"Ridgway, PA",1051.0,1347.0,1526.0,3924.0,3380.0
"Greenwood, WI",1051.0,1347.0,1526.0,3924.0,3380.0
"Brookville, PA",1051.0,1347.0,1526.0,3924.0,3380.0
"Jupiter, FL",1051.0,1347.0,1526.0,3924.0,3380.0
"Manchester, CT",1051.0,1347.0,1526.0,3924.0,3380.0
"Brunswick, ME",1051.0,1347.0,1526.0,3924.0,3380.0
"Naugatuck, CT",1051.0,1347.0,1526.0,3924.0,3380.0
"Farmington, MO",1051.0,1347.0,1526.0,3924.0,3380.0
"San Saba, TX",1051.0,1347.0,1526.0,3924.0,3380.0
"Ridgewood, NJ",1051.0,1347.0,1526.0,3924.0,3380.0
"St. Clairsville, OH",1051.0,1347.0,1526.0,3924.0,3380.0
"Danbury, CT",1051.0,1347.0,1526.0,3924.0,3380.0
"Hobart, IN",1051.0,1347.0,1526.0,3924.0,3380.0
"Marblehead, MA",1051.0,1347.0,1526.0,3924.0,3380.0
"Mingo Junction, OH",1051.0,1347.0,1526.0,3924.0,3380.0
"Hemet, CA",1051.0,1347.0,1526.0,3924.0,3380.0
"Greenville, PA",1051.0,1347.0,1526.0,3924.0,3380.0
"Alamogordo, NM",1051.0,458.0,2438.0,3947.0,3492.0
"Oxford, OH",1051.0,458.0,2438.0,3947.0,3492.0
"Summerfield, LA",1051.0,458.0,2438.0,3947.0,3492.0
"Valparaiso, IN",1051.0,458.0,2438.0,3947.0,3492.0
"Midvale, OH",1051.0,458.0,2438.0,3947.0,3492.0
"Fort Scott, KS",1051.0,458.0,2438.0,3947.0,3492.0
"Carmel, NY",1051.0,458.0,2438.0,3947.0,3492.0
"Jasper, FL",1051.0,458.0,2438.0,3947.0,3492.0
"Edmonds, WA",1051.0,458.0,2438.0,3947.0,3492.0
"Layton, UT",1051.0,458.0,2438.0,3947.0,3492.0
"Findlay, OH",1051.0,458.0,2438.0,3947.0,3492.0
"Winthrop, MA",1051.0,458.0,2438.0,3947.0,3492.0
"Mount Vernon, IL",1051.0,458.0,2438.0,3947.0,3492.0
"Mount Vernon, WA",1051.0,458.0,2438.0,3947.0,3492.0
"Columbia, LA",1051.0,458.0,2438.0,3947.0,3492.0
"Thomson, GA",1051.0,458.0,2438.0,3947.0,3492.0
"Far Rockaway, NY",1051.0,458.0,2438.0,3947.0,3492.0
"Venice, CA",1051.0,458.0,2438.0,3947.0,3492.0
"Greenfield, OH",1051.0,458.0,2438.0,3947.0,3492.0
"West Point, GA",1051.0,458.0,2438.0,3947.0,3492.0
"Cairo, IL",1051.0,458.0,2438.0,3947.0,3492.0
"West Warwick, RI",1051.0,458.0,2438.0,3947.0,3492.0
"Thief River Falls, MN",1051.0,458.0,2438.0,3947.0,3492.0
"Bonne Terre, MO",1051.0,458.0,2438.0,3947.0,3492.0
"Neenah, WI",1051.0,458.0,2438.0,3947.0,3492.0
"Wallace, NC",1051.0,458.0,2438.0,3947.0,3492.0
"Brawley, CA",167.0,1347.0,2438.0,3952.0,3518.0
"McGehee, AR",1347.0,178.0,2438.0,3963.0,3519.0
"Sao Paulo, Brazil",1347.0,178.0,2438.0,3963.0,3519.0
"Bellefontaine, OH",1347.0,178.0,2438.0,3963.0,3519.0
"Munich, Germany",1347.0,178.0,2438.0,3963.0,3519.0
"Harlem, NY",1347.0,178.0,2438.0,3963.0,3519.0
"Bloomsburg, PA",246.0,1347.0,2438.0,4031.0,3524.0
"La Marque, TX",246.0,1347.0,2438.0,4031.0,3524.0
"Carmichael, CA",246.0,1347.0,2438.0,4031.0,3524.0
"Norwich, CT",246.0,1347.0,2438.0,4031.0,3524.0
"Mullens, WV",1347.0,253.0,2438.0,4038.0,3528.0
"Irvine, CA",1347.0,253.0,2438.0,4038.0,3528.0
"Beirut, Lebanon",1347.0,253.0,2438.0,4038.0,3528.0
"Utica, MS",1347.0,253.0,2438.0,4038.0,3528.0
"Hogansville, GA",1347.0,253.0,2438.0,4038.0,3528.0
"Franklin, IN",1347.0,253.0,2438.0,4038.0,3528.0
"Yaounde, Cameroon",1347.0,253.0,2438.0,4038.0,3528.0
"Duryea, PA",1347.0,253.0,2438.0,4038.0,3528.0
"Walterboro, SC",1347.0,253.0,2438.0,4038.0,3528.0
"Canton, MS",1347.0,253.0,2438.0,4038.0,3528.0
"Martinsville, IN",1347.0,253.0,2438.0,4038.0,3528.0
"Caracas, Venezuela",1347.0,253.0,2438.0,4038.0,3528.0
"Birmingham, MI",1347.0,253.0,2438.0,4038.0,3528.0
"Rolling Fork, MS",1347.0,253.0,2438.0,4038.0,3528.0
"Newburyport, MA",309.0,1347.0,2438.0,4094.0,3542.0
"Thousand Oaks, CA",309.0,1347.0,2438.0,4094.0,3542.0
"Uvalde, TX",309.0,1347.0,2438.0,4094.0,3542.0
"Ashland, PA",309.0,1347.0,2438.0,4094.0,3542.0
"Huntington Park, CA",309.0,1347.0,2438.0,4094.0,3542.0
"Livonia, MI",417.0,1347.0,2438.0,4202.0,3547.0
"East Providence, RI",417.0,1347.0,2438.0,4202.0,3547.0
"Lutcher, LA",417.0,1347.0,2438.0,4202.0,3547.0
"Amsterdam, NY",417.0,1347.0,2438.0,4202.0,3547.0
"Potosi, MO",417.0,1347.0,2438.0,4202.0,3547.0
"Wolf Point, MT",417.0,1347.0,2438.0,4202.0,3547.0
"Highland Park, IL",417.0,1347.0,2438.0,4202.0,3547.0
"Alice, TX",417.0,1347.0,2438.0,4202.0,3547.0
"Benton, AR",417.0,1347.0,2438.0,4202.0,3547.0
"Sunnyside, WA",417.0,1347.0,2438.0,4202.0,3547.0
"Prague, OK",417.0,1347.0,2438.0,4202.0,3547.0
"Fountain Valley, CA",417.0,1347.0,2438.0,4202.0,3547.0
"Marcus Hook, PA",417.0,1347.0,2438.0,4202.0,3547.0
"Defiance, OH",417.0,1347.0,2438.0,4202.0,3547.0
"Farmville, VA",417.0,1347.0,2438.0,4202.0,3547.0
"Dover, NH",417.0,1347.0,2438.0,4202.0,3547.0
"Dorchester, MA",417.0,1347.0,2438.0,4202.0,3547.0
"Maywood, CA",417.0,1347.0,2438.0,4202.0,3547.0
"La Plata, MD",417.0,1347.0,2438.0,4202.0,3547.0
"Atascadero, CA",417.0,1347.0,2438.0,4202.0,3547.0
"Lomita, CA",417.0,1347.0,2438.0,4202.0,3547.0
"Punxsutawney, PA",417.0,1347.0,2438.0,4202.0,3547.0
"Menominee, MI",1347.0,1347.0,1526.0,4220.0,3569.0
"Saddle Brook, NJ",1347.0,1347.0,1526.0,4220.0,3569.0
"Pineview, GA",1347.0,1347.0,1526.0,4220.0,3569.0
"Rudy, AR",1347.0,1347.0,1526.0,4220.0,3569.0
"Pinckneyville, IL",1347.0,1347.0,1526.0,4220.0,3569.0
"Redwood Falls, MN",1347.0,1347.0,1526.0,4220.0,3569.0
"Roswell, NM",1347.0,1347.0,1526.0,4220.0,3569.0
"New Richmond, WI",1347.0,1347.0,1526.0,4220.0,3569.0
"Rockdale, TX",1347.0,1347.0,1526.0,4220.0,3569.0
"Ripley, MS",1347.0,1347.0,1526.0,4220.0,3569.0
"Lexington, MO",1347.0,1347.0,1526.0,4220.0,3569.0
"Llewellyn, PA",1347.0,1347.0,1526.0,4220.0,3569.0
"Mendenhall, MS",1347.0,1347.0,1526.0,4220.0,3569.0
"Pocasset, MA",1347.0,1347.0,1526.0,4220.0,3569.0
"Martin, TN",1347.0,1347.0,1526.0,4220.0,3569.0
"Polo, IL",1347.0,1347.0,1526.0,4220.0,3569.0
"Menomonie, WI",1347.0,1347.0,1526.0,4220.0,3569.0
"Lewistown, IL",1347.0,1347.0,1526.0,4220.0,3569.0
"New Lenox, IL",1347.0,1347.0,1526.0,4220.0,3569.0
"New Martinsville, WV",1347.0,1347.0,1526.0,4220.0,3569.0
"Reform, AL",1347.0,1347.0,1526.0,4220.0,3569.0
"New Cumberland, PA",1347.0,1347.0,1526.0,4220.0,3569.0
"Poteau, OK",1347.0,1347.0,1526.0,4220.0,3569.0
"Pontotoc, MS",1347.0,1347.0,1526.0,4220.0,3569.0
"Rockford, MI",1347.0,1347.0,1526.0,4220.0,3569.0
"Reedsville, WV",1347.0,1347.0,1526.0,4220.0,3569.0
"Mount Olive, MS",1347.0,1347.0,1526.0,4220.0,3569.0
"Madison, SD",1347.0,1347.0,1526.0,4220.0,3569.0
"Millville, NJ",1347.0,1347.0,1526.0,4220.0,3569.0
"Rogersville, AL",1347.0,1347.0,1526.0,4220.0,3569.0
"Schuyler, NE",1347.0,1347.0,1526.0,4220.0,3569.0
"Prineville, OR",1347.0,1347.0,1526.0,4220.0,3569.0
"New Philadelphia, OH",1347.0,1347.0,1526.0,4220.0,3569.0
"New Haven, MI",1347.0,1347.0,1526.0,4220.0,3569.0
"Maryville, TN",1347.0,1347.0,1526.0,4220.0,3569.0
"Rillton, PA",1347.0,1347.0,1526.0,4220.0,3569.0
"Oxford, England",1347.0,1347.0,1526.0,4220.0,3569.0
"Medford, OK",1347.0,1347.0,1526.0,4220.0,3569.0
"Lometa, TX",1347.0,1347.0,1526.0,4220.0,3569.0
"Nashville, AR",1347.0,1347.0,1526.0,4220.0,3569.0
"Munday, TX",1347.0,1347.0,1526.0,4220.0,3569.0
"Leominster, MA",1347.0,1347.0,1526.0,4220.0,3569.0
"Mandeville, LA",1347.0,1347.0,1526.0,4220.0,3569.0
"Nairobi, Kenya",1347.0,1347.0,1526.0,4220.0,3569.0
"Powell, WY",1347.0,1347.0,1526.0,4220.0,3569.0
"Richlands, NC",1347.0,1347.0,1526.0,4220.0,3569.0
"Pleasant Hill, CA",1347.0,1347.0,1526.0,4220.0,3569.0
"Manitowoc, WI",1347.0,1347.0,1526.0,4220.0,3569.0
"NE City, NE",1347.0,1347.0,1526.0,4220.0,3569.0
"Owerri, Nigeria",1347.0,1347.0,1526.0,4220.0,3569.0
"London, Canada",1347.0,1347.0,1526.0,4220.0,3569.0
"Mustang, OK",1347.0,1347.0,1526.0,4220.0,3569.0
"Lemont, IL",1347.0,1347.0,1526.0,4220.0,3569.0
"Manning, SC",1347.0,1347.0,1526.0,4220.0,3569.0
"Platte Center, NE",1347.0,1347.0,1526.0,4220.0,3569.0
"Mannington, WV",1347.0,1347.0,1526.0,4220.0,3569.0
"Platte, SD",1347.0,1347.0,1526.0,4220.0,3569.0
"Plainfield, IN",1347.0,1347.0,1526.0,4220.0,3569.0
"Pageland, SC",1347.0,1347.0,1526.0,4220.0,3569.0
"Medina, OH",1347.0,1347.0,1526.0,4220.0,3569.0
"Oxford, MI",1347.0,1347.0,1526.0,4220.0,3569.0
"Opa-Locka, FL",1347.0,1347.0,1526.0,4220.0,3569.0
"Lockney, TX",1347.0,1347.0,1526.0,4220.0,3569.0
"Mountain Lake, MN",1347.0,1347.0,1526.0,4220.0,3569.0
"Madison, NJ",1347.0,1347.0,1526.0,4220.0,3569.0
"Nettleton, MS",1347.0,1347.0,1526.0,4220.0,3569.0
"Moab, UT",1347.0,1347.0,1526.0,4220.0,3569.0
"Nesquehoning, PA",1347.0,1347.0,1526.0,4220.0,3569.0
"Pitcairn, PA",1347.0,1347.0,1526.0,4220.0,3569.0
"Lockport, NY",1347.0,1347.0,1526.0,4220.0,3569.0
"Needville, TX",1347.0,1347.0,1526.0,4220.0,3569.0
"McLennan County, TX",1347.0,1347.0,1526.0,4220.0,3569.0
"Pittsfield, IL",1347.0,1347.0,1526.0,4220.0,3569.0
"Navarre, OH",1347.0,1347.0,1526.0,4220.0,3569.0
"Long Island, KS",1347.0,1347.0,1526.0,4220.0,3569.0
"Mena, AR",1347.0,1347.0,1526.0,4220.0,3569.0
"Prairie Hill, TX",1347.0,1347.0,1526.0,4220.0,3569.0
"Natrona Heights, PA",1347.0,1347.0,1526.0,4220.0,3569.0
"Oxford, NE",1347.0,1347.0,1526.0,4220.0,3569.0
"Richwood, OH",1347.0,1347.0,1526.0,4220.0,3569.0
"Logan, OH",1347.0,1347.0,1526.0,4220.0,3569.0
"Manteca, CA",1347.0,1347.0,1526.0,4220.0,3569.0
"Scottsboro, AL",1347.0,1347.0,1526.0,4220.0,3569.0
"Lexington, SC",1347.0,1347.0,1526.0,4220.0,3569.0
"Millbrook, AL",1347.0,1347.0,1526.0,4220.0,3569.0
"Mason, TX",1347.0,1347.0,1526.0,4220.0,3569.0
"Midway, PA",1347.0,1347.0,1526.0,4220.0,3569.0
"Rand, WV",1347.0,1347.0,1526.0,4220.0,3569.0
"Pauls Valley, OK",1347.0,1347.0,1526.0,4220.0,3569.0
"Port St. Joe, FL",1347.0,1347.0,1526.0,4220.0,3569.0
"Pawnee, OK",1347.0,1347.0,1526.0,4220.0,3569.0
"Mooresville, NC",1347.0,1347.0,1526.0,4220.0,3569.0
"Paris, AR",1347.0,1347.0,1526.0,4220.0,3569.0
"Northampton, MA",1347.0,1347.0,1526.0,4220.0,3569.0
"Lincolnshire, IL",1347.0,1347.0,1526.0,4220.0,3569.0
"Port Lavaca, TX",1347.0,1347.0,1526.0,4220.0,3569.0
"Roanoke, AL",1347.0,1347.0,1526.0,4220.0,3569.0
"North, SC",1347.0,1347.0,1526.0,4220.0,3569.0
"Lucedale, MS",1347.0,1347.0,1526.0,4220.0,3569.0
"North Miami Beach, FL",1347.0,1347.0,1526.0,4220.0,3569.0
"Port Chester, NY",1347.0,1347.0,1526.0,4220.0,3569.0
"Oglesby, IL",1347.0,1347.0,1526.0,4220.0,3569.0
"Los Banos, CA",1347.0,1347.0,1526.0,4220.0,3569.0
"Morgantown, NC",1347.0,1347.0,1526.0,4220.0,3569.0
"Oilton, OK",1347.0,1347.0,1526.0,4220.0,3569.0
"Rose Hill, NC",1347.0,1347.0,1526.0,4220.0,3569.0
"Pell City, AL",1347.0,1347.0,1526.0,4220.0,3569.0
"Mathews, LA",1347.0,1347.0,1526.0,4220.0,3569.0
"Powder Springs, GA",1347.0,1347.0,1526.0,4220.0,3569.0
"Montego Bay, Jamaica",1347.0,1347.0,1526.0,4220.0,3569.0
"Ramsey, NJ",1347.0,1347.0,1526.0,4220.0,3569.0
"Oakmont, PA",1347.0,1347.0,1526.0,4220.0,3569.0
"Marlow, OK",1347.0,1347.0,1526.0,4220.0,3569.0
"Miller, SD",1347.0,1347.0,1526.0,4220.0,3569.0
"Monticello, GA",1347.0,1347.0,1526.0,4220.0,3569.0
"Nutley, NJ",1347.0,1347.0,1526.0,4220.0,3569.0
"Lindenhurst, NY",1347.0,1347.0,1526.0,4220.0,3569.0
"Parsons, KS",1347.0,1347.0,1526.0,4220.0,3569.0
"Raleigh, MS",1347.0,1347.0,1526.0,4220.0,3569.0
"Marlborough, MA",1347.0,1347.0,1526.0,4220.0,3569.0
"Parkston, SD",1347.0,1347.0,1526.0,4220.0,3569.0
"Quitman, GA",1347.0,1347.0,1526.0,4220.0,3569.0
"Montpelier, VT",1347.0,1347.0,1526.0,4220.0,3569.0
"Milan, Italy",1347.0,1347.0,1526.0,4220.0,3569.0
"Milan, IL",1347.0,1347.0,1526.0,4220.0,3569.0
"Santa Fe, NM",1347.0,1347.0,1526.0,4220.0,3569.0
"Ocilla, GA",1347.0,1347.0,1526.0,4220.0,3569.0
"Park City, UT",1347.0,1347.0,1526.0,4220.0,3569.0
"Montrose, GA",1347.0,1347.0,1526.0,4220.0,3569.0
"Salem, OH",1347.0,1347.0,1526.0,4220.0,3569.0
"Linden, NJ",1347.0,1347.0,1526.0,4220.0,3569.0
"Port of Spain, Trinidad",1347.0,1347.0,1526.0,4220.0,3569.0
"Patterson, LA",1347.0,1347.0,1526.0,4220.0,3569.0
"Russellville, AL",1347.0,1347.0,1526.0,4220.0,3569.0
"Paramount, CA",1347.0,1347.0,1526.0,4220.0,3569.0
"Limestone, ME",1347.0,1347.0,1526.0,4220.0,3569.0
"Nixon, TX",1347.0,1347.0,1526.0,4220.0,3569.0
"Palos Verde, CA",1347.0,1347.0,1526.0,4220.0,3569.0
"Lyons, GA",1347.0,1347.0,1526.0,4220.0,3569.0
"Niceville, FL",1347.0,1347.0,1526.0,4220.0,3569.0
"Newton, NJ",1347.0,1347.0,1526.0,4220.0,3569.0
"Maben, MS",1347.0,1347.0,1526.0,4220.0,3569.0
"Liberty, NE",1347.0,1347.0,1526.0,4220.0,3569.0
"Mableton, GA",1347.0,1347.0,1526.0,4220.0,3569.0
"Macomb, IL",1347.0,1347.0,1526.0,4220.0,3569.0
"Macon, AL",1347.0,1347.0,1526.0,4220.0,3569.0
"Schaumburg, IL",1347.0,1347.0,1526.0,4220.0,3569.0
"Mount Carmel, IL",1347.0,1347.0,1526.0,4220.0,3569.0
"Liberty, MO",1347.0,1347.0,1526.0,4220.0,3569.0
"Newport, AR",1347.0,1347.0,1526.0,4220.0,3569.0
"Palmyra, PA",1347.0,1347.0,1526.0,4220.0,3569.0
"Millen, GA",1347.0,1347.0,1526.0,4220.0,3569.0
"Newberry, MI",1347.0,1347.0,1526.0,4220.0,3569.0
"Old Forge, PA",1347.0,1347.0,1526.0,4220.0,3569.0
"Rumson, NJ",1347.0,1347.0,1526.0,4220.0,3569.0
"Old Hickory, TN",1347.0,1347.0,1526.0,4220.0,3569.0
"New Village, NJ",1347.0,1347.0,1526.0,4220.0,3569.0
"Perry, NY",1347.0,1347.0,1526.0,4220.0,3569.0
"Palos Verdes Peninsula, CA",1347.0,1347.0,1526.0,4220.0,3569.0
"Liverpool, NY",1347.0,1347.0,1526.0,4220.0,3569.0
"Perry, FL",1347.0,1347.0,1526.0,4220.0,3569.0
"Luling, TX",1347.0,1347.0,1526.0,4220.0,3569.0
"Ranson, WV",1347.0,1347.0,1526.0,4220.0,3569.0
"Penn Yan, NY",1347.0,1347.0,1526.0,4220.0,3569.0
"Rockaway, NJ",1347.0,1347.0,1526.0,4220.0,3569.0
