College,BirthPlace,MLB_score,NBA_score,NFL_score,Total,Rank
University of Miami,"Los Angeles, CA",152.0,274.0,71.0,128.0,175.0
Duke University,"Chicago, IL",224.5,12.5,277.0,129.0,177.0
Arizona State University,"Cincinnati, OH",49.0,268.0,208.0,131.0,178.0
Duke University,"Los Angeles, CA",223.0,26.0,278.5,131.0,178.0
University of Kentucky,"New York, NY",252.0,12.5,259.0,132.0,180.0
Arizona State University,"San Francisco, CA",101.5,261.5,218.0,133.0,181.0
University of North Carolina at Chapel Hill,"Louisville, KY",241.5,125.0,255.5,134.0,182.0
University of Kentucky,"Philadelphia, PA",258.0,3.5,252.5,136.0,183.0
University of Kentucky,"Dallas, TX",255.5,66.0,245.0,136.0,183.0
University of Miami,"Houston, TX",164.0,276.0,84.0,137.0,185.0
Arizona State University,"San Diego, CA",37.0,271.0,214.0,137.0,185.0
Indiana University,"New York, NY",265.0,52.5,232.0,137.0,185.0
University of Kentucky,"Detroit, MI",262.0,26.0,243.0,137.0,185.0
Duke University,"Houston, TX",226.5,97.5,280.0,140.0,189.0
Indiana University,"Philadelphia, PA",271.0,33.5,227.0,141.0,190.0
Indiana University,"Detroit, MI",273.0,81.5,218.0,142.0,191.0
Duke University,"New York, NY",230.0,33.5,288.5,145.0,192.0
University of Miami,"Detroit, MI",196.0,275.0,118.0,147.0,193.0
University of Texas,"Long Beach, CA",37.0,261.5,259.0,147.0,193.0
University of Oklahoma,"Miami, FL",180.0,278.5,84.0,149.0,195.0
Duke University,"Dallas, TX",236.0,113.5,284.0,149.0,195.0
Duke University,"Philadelphia, PA",243.5,19.0,285.5,149.0,195.0
University of Kentucky,"Brooklyn, NY",257.0,19.0,274.5,149.0,195.0
University of Kentucky,"Atlanta, GA",268.0,33.5,259.0,150.0,199.0
Duke University,"Detroit, MI",245.0,52.5,283.0,150.0,199.0
University of Kansas,"Chicago, IL",277.0,19.0,245.0,152.0,201.0
Indiana University,"Brooklyn, NY",270.0,66.0,255.5,154.0,202.0
University of Kansas,"Los Angeles, CA",275.5,33.5,247.5,154.0,202.0
Indiana University,"Atlanta, GA",280.5,97.5,232.0,155.0,204.0
University of Arizona,"Long Beach, CA",119.5,210.0,294.0,156.0,205.0
Stanford University,"Long Beach, CA",73.5,254.0,274.5,156.0,205.0
University of Kentucky,"Baltimore, MD",267.0,42.0,270.5,159.0,207.0
Duke University,"Brooklyn, NY",237.5,42.0,295.0,162.0,208.0
University of Kansas,"Houston, TX",278.5,113.5,249.0,163.0,209.0
Duke University,"Atlanta, GA",254.0,66.0,288.5,163.0,209.0
Indiana University,"Baltimore, MD",278.5,113.5,250.5,164.0,211.0
University of Kansas,"New York, NY",280.5,42.0,267.5,168.0,212.0
Arizona State University,"Long Beach, CA",61.5,270.0,270.5,169.0,213.0
University of Nebraska,"Chicago, IL",219.5,286.0,29.0,171.0,214.0
University of Kansas,"Philadelphia, PA",285.0,26.0,264.5,172.0,215.0
Duke University,"Baltimore, MD",252.0,81.5,293.0,172.0,215.0
University of Kansas,"Detroit, MI",286.0,66.0,252.5,173.0,217.0
University of Nebraska,"Los Angeles, CA",217.0,288.0,37.0,173.0,217.0
University of Kentucky,"Memphis, TN",283.0,81.5,267.5,175.0,219.0
University of Miami,"Miami, FL",196.0,296.5,100.0,182.0,220.0
University of Nebraska,"Houston, TX",221.5,292.0,47.0,182.0,220.0
University of Kansas,"Brooklyn, NY",284.0,52.5,281.5,185.0,222.0
University of Kansas,"Atlanta, GA",290.0,81.5,267.5,186.0,223.0
Pennsylvania State University,"Chicago, IL",262.0,277.0,21.5,189.0,224.0
Pennsylvania State University,"Los Angeles, CA",259.5,278.5,29.0,191.0,225.0
University of Nebraska,"Dallas, TX",230.0,293.0,84.0,191.0,225.0
University of Nebraska,"Detroit, MI",239.5,291.0,71.0,192.0,227.0
University of Kentucky,"Louisville, KY",287.5,97.5,281.5,195.0,228.0
University of Kansas,"Baltimore, MD",289.0,97.5,278.5,195.0,228.0
Pennsylvania State University,"Houston, TX",264.0,283.5,37.0,200.0,230.0
University of Kentucky,"INpolis, IN",287.5,113.5,285.5,202.0,231.0
Pennsylvania State University,"Dallas, TX",269.0,285.0,71.0,209.0,232.0
Pennsylvania State University,"Detroit, MI",273.0,280.5,58.5,210.0,233.0
University of Nebraska,"Cleveland, OH",249.0,295.0,100.0,211.0,234.0
College of the Holy Cross,"Chicago, IL",73.5,280.5,290.0,220.0,235.0
College of the Holy Cross,"Los Angeles, CA",61.5,282.0,291.0,222.0,236.0
University of Nebraska,"New Orleans, LA",266.0,294.0,118.0,224.0,237.0
University of Nebraska,"Miami, FL",239.5,300.0,58.5,227.0,238.0
Pennsylvania State University,"Cleveland, OH",282.0,290.0,84.0,229.0,239.0
College of the Holy Cross,"Houston, TX",86.5,288.0,292.0,231.0,240.0
College of the Holy Cross,"New York, NY",101.5,283.5,296.0,236.0,241.0
Pennsylvania State University,"Pittsburgh, PA",275.5,296.5,118.0,239.0,242.0
Pennsylvania State University,"New Orleans, LA",291.0,288.0,100.0,242.0,243.0
Pennsylvania State University,"Miami, FL",273.0,299.0,47.0,245.0,244.0
College of the Holy Cross,"San Diego, CA",119.5,298.0,297.0,272.0,245.0
University of Louisville,"Chicago, IL",296.0,42.0,261.5,405.0,246.0
University of Louisville,"Los Angeles, CA",295.0,66.0,263.0,407.0,247.0
University of Louisville,"New York, NY",297.0,81.5,276.0,421.0,248.0
University of Louisville,"Philadelphia, PA",299.0,52.5,272.5,425.0,249.0
University of Louisville,"Detroit, MI",300.0,113.5,267.5,426.0,250.0
University of Louisville,"Brooklyn, NY",298.0,97.5,287.0,438.0,251.0
St. John's University,"Chicago, IL",293.0,81.5,298.0,528.0,252.0
St. John's University,"Los Angeles, CA",292.0,113.5,299.0,530.0,253.0
St. John's University,"Philadelphia, PA",294.0,97.5,300.0,548.0,254.0
