League,College,Count,LeagueTotal,Percentage,Rank
NBA,University of Oklahoma,20,4371,0.4575611988103409,34.0
NBA,University of Pittsburgh,20,4371,0.4575611988103409,34.0
NFL,Boston College,206,24459,0.8422257655668669,34.0
NFL,University of North Carolina at Chapel Hill,206,24459,0.8422257655668669,34.0
MLB,Manhattan College,28,7540,0.3713527851458886,35.0
MLB,Seton Hall University,28,7540,0.3713527851458886,35.0
NBA,Bradley University,19,4371,0.43468313886982385,35.0
NBA,University of New Mexico,19,4371,0.43468313886982385,35.0
NBA,Wichita State University,19,4371,0.43468313886982385,35.0
NFL,University of Mississippi,203,24459,0.8299603417964757,35.0
MLB,Texas Tech University,27,7540,0.3580901856763926,36.0
NBA,Baylor University,18,4371,0.41180507892930684,36.0
NBA,California State University-Long Beach,18,4371,0.41180507892930684,36.0
NBA,Pepperdine University,18,4371,0.41180507892930684,36.0
NBA,Tennessee State University,18,4371,0.41180507892930684,36.0
NBA,University of Georgia,18,4371,0.41180507892930684,36.0
NBA,Xavier University,18,4371,0.41180507892930684,36.0
NFL,University of Maryland,196,24459,0.8013410196655628,36.0
MLB,Dartmouth College,26,7540,0.3448275862068966,37.0
MLB,Miami-Dade College-North Campus,26,7540,0.3448275862068966,37.0
MLB,Oregon State University,26,7540,0.3448275862068966,37.0
MLB,Princeton University,26,7540,0.3448275862068966,37.0
MLB,State College of Florida-Manatee Sarasota,26,7540,0.3448275862068966,37.0
MLB,Tulane University,26,7540,0.3448275862068966,37.0
MLB,Yale University,26,7540,0.3448275862068966,37.0
NBA,Northwestern University,17,4371,0.38892701898878973,37.0
NBA,St. Bonaventure University,17,4371,0.38892701898878973,37.0
NBA,Texas A&M University,17,4371,0.38892701898878973,37.0
NBA,University of Rhode Island,17,4371,0.38892701898878973,37.0
NFL,Baylor University,191,24459,0.7808986467149106,37.0
MLB,Southern Illinois University,25,7540,0.33156498673740054,38.0
NBA,Bowling Green State University,16,4371,0.3660489590482727,38.0
NBA,California State University-Fresno,16,4371,0.3660489590482727,38.0
NBA,Creighton University,16,4371,0.3660489590482727,38.0
NBA,Loyola University-Chicago,16,4371,0.3660489590482727,38.0
NBA,Southern Methodist University,16,4371,0.3660489590482727,38.0
NBA,University of Tulsa,16,4371,0.3660489590482727,38.0
NBA,Washington State University,16,4371,0.3660489590482727,38.0
NBA,West Virginia University,16,4371,0.3660489590482727,38.0
NFL,Indiana University,184,24459,0.7522793245839977,38.0
MLB,Indiana University,24,7540,0.3183023872679045,39.0
MLB,Pennsylvania State University,24,7540,0.3183023872679045,39.0
MLB,University of Houston,24,7540,0.3183023872679045,39.0
MLB,Vanderbilt University,24,7540,0.3183023872679045,39.0
NBA,Mississippi State University,15,4371,0.34317089910775567,39.0
NBA,Saint Louis University,15,4371,0.34317089910775567,39.0
NBA,University of Miami,15,4371,0.34317089910775567,39.0
NFL,West Virginia University,173,24459,0.707306104092563,39.0
MLB,Boston College,23,7540,0.3050397877984085,40.0
MLB,Miami-Dade College-Kendall Campus,23,7540,0.3050397877984085,40.0
MLB,University of Wisconsin at Madison,23,7540,0.3050397877984085,40.0
MLB,Western Michigan University,23,7540,0.3050397877984085,40.0
NBA,Drake University,14,4371,0.3202928391672386,40.0
NBA,Gonzaga University,14,4371,0.3202928391672386,40.0
NBA,Santa Clara University,14,4371,0.3202928391672386,40.0
NBA,Tulane University,14,4371,0.3202928391672386,40.0
NBA,Virginia Polytechnic Institute and State University,14,4371,0.3202928391672386,40.0
NFL,University of Missouri,169,24459,0.6909522057320414,40.0
MLB,University of Iowa,22,7540,0.2917771883289125,41.0
MLB,University of Maryland,22,7540,0.2917771883289125,41.0
MLB,University of South Alabama,22,7540,0.2917771883289125,41.0
MLB,West Virginia University,22,7540,0.2917771883289125,41.0
NBA,George Washington University,13,4371,0.29741477922672155,41.0
NBA,Marshall University,13,4371,0.29741477922672155,41.0
NBA,New Mexico State University,13,4371,0.29741477922672155,41.0
NBA,Rutgers University,13,4371,0.29741477922672155,41.0
NBA,University of Texas at El Paso,13,4371,0.29741477922672155,41.0
NFL,Georgia Tech University,166,24459,0.6786867819616501,41.0
NFL,University of Virginia,166,24459,0.6786867819616501,41.0
MLB,Brigham Young University,21,7540,0.27851458885941643,42.0
MLB,Northwestern University,21,7540,0.27851458885941643,42.0
MLB,University of California-Santa Barbara,21,7540,0.27851458885941643,42.0
NBA,Grambling State University,12,4371,0.27453671928620454,42.0
NBA,Jackson State University,12,4371,0.27453671928620454,42.0
NBA,Pennsylvania State University,12,4371,0.27453671928620454,42.0
NBA,Rice University,12,4371,0.27453671928620454,42.0
NBA,University of Nevada,12,4371,0.27453671928620454,42.0
NFL,Northwestern University,165,24459,0.6745983073715197,42.0
NFL,Washington State University,165,24459,0.6745983073715197,42.0
MLB,Bucknell University,20,7540,0.2652519893899204,43.0
MLB,Kent State University,20,7540,0.2652519893899204,43.0
MLB,Mesa Community College,20,7540,0.2652519893899204,43.0
MLB,Miami University of Ohio,20,7540,0.2652519893899204,43.0
MLB,Seminole State College,20,7540,0.2652519893899204,43.0
MLB,Syracuse University,20,7540,0.2652519893899204,43.0
MLB,University of Kansas,20,7540,0.2652519893899204,43.0
NBA,Canisius College,11,4371,0.2516586593456875,43.0
NBA,College of the Holy Cross,11,4371,0.2516586593456875,43.0
